stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,918.6,-89.681653,35.879734
-14,984.3,-89.682637,35.880413
-13,984.3,-89.682637,35.880413
-12,1017.1,-89.682637,35.880413
-11,1017.1,-89.682637,35.880413
-10,1082.7,-89.684611,35.881635
-9,1082.7,-89.682637,35.880413
-8,1115.5,-89.682637,35.880413
-7,1148.3,-89.682637,35.880413
-6,1181.1,-89.682637,35.880413
-5,1181.1,-89.682637,35.880413
-4,1213.9,-89.682637,35.880413
-3,1279.5,-89.689488,35.886096
-2,1279.5,-89.689488,35.886096
-1,1312.3,-89.689488,35.886096
0,1312.3,-89.689488,35.886096
1,1378.0,-89.689488,35.886096
2,1410.8,-89.687551,35.883983
3,1443.6,-89.689488,35.886096
4,1476.4,-89.687551,35.883983
5,1607.6,-89.687551,35.883983
6,1706.0,-89.688519,35.885039
7,1837.3,-89.663684,35.873639
8,1837.3,-89.663684,35.873639
9,1837.3,-89.663684,35.873639
10,1837.3,-89.663684,35.873639
11,1837.3,-89.663684,35.873639
12,1837.3,-89.663684,35.873639
13,1837.3,-89.663684,35.873639
14,1837.3,-89.663684,35.873639
15,1837.3,-89.663684,35.873639
16,1837.3,-89.663684,35.873639
17,1837.3,-89.663684,35.873639
18,1837.3,-89.663684,35.873639
19,1837.3,-89.663684,35.873639
