stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-89.9411,35.676696
-14,0.0,-89.942329,35.677926
-13,0.0,-89.942329,35.677926
-12,0.0,-89.942329,35.677926
-11,623.4,-89.942329,35.677926
-10,1181.1,-89.94411,35.681489
-9,1246.7,-89.94411,35.681489
-8,1378.0,-89.94411,35.681489
-7,1476.4,-89.9376,35.668965
-6,1509.2,-89.9376,35.668965
-5,1509.2,-89.9376,35.668965
-4,1509.2,-89.9376,35.668965
-3,1509.2,-89.9376,35.668965
-2,1509.2,-89.9376,35.668965
-1,1542.0,-89.9376,35.668965
0,1542.0,-89.9376,35.668965
1,1542.0,-89.9376,35.668965
2,1542.0,-89.9376,35.668965
3,1542.0,-89.9376,35.668965
4,1542.0,-89.9376,35.668965
5,1542.0,-89.9376,35.668965
6,1607.6,-89.9376,35.668965
7,1607.6,-89.9376,35.668965
8,1673.2,-89.9376,35.668965
9,1673.2,-89.9376,35.668965
10,1673.2,-89.9376,35.668965
11,1673.2,-89.9376,35.668965
12,1673.2,-89.9376,35.668965
13,1673.2,-89.9376,35.668965
14,1673.2,-89.9376,35.668965
15,1673.2,-89.9376,35.668965
16,1673.2,-89.9376,35.668965
17,1673.2,-89.9376,35.668965
18,1673.2,-89.9376,35.668965
19,1673.2,-89.9376,35.668965
