stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-89.887714,35.739425
-14,0.0,-89.887714,35.739425
-13,0.0,-89.887714,35.739425
-12,0.0,-89.887714,35.739425
-11,0.0,-89.887714,35.739425
-10,152.4,-89.87685,35.738912
-9,375.3,-89.881001,35.740549
-8,517.7,-89.880419,35.740755
-7,572.2,-89.880419,35.740755
-6,623.1,-89.881001,35.740549
-5,719.5,-89.879614,35.740793
-4,734.9,-89.879614,35.740793
-3,1072.6,-89.865818,35.740887
-2,1088.3,-89.865818,35.740887
-1,1093.0,-89.865818,35.740887
0,1093.0,-89.865818,35.740887
1,1093.0,-89.865818,35.740887
2,1093.0,-89.865818,35.740887
3,1093.0,-89.865818,35.740887
4,1093.0,-89.865818,35.740887
5,1093.0,-89.865818,35.740887
6,1093.0,-89.865818,35.740887
7,1093.0,-89.865818,35.740887
8,1093.0,-89.865818,35.740887
9,1093.0,-89.865818,35.740887
10,1093.0,-89.865818,35.740887
11,1093.0,-89.865818,35.740887
12,1093.0,-89.865818,35.740887
13,1093.0,-89.865818,35.740887
14,1093.0,-89.865818,35.740887
15,1093.0,-89.865818,35.740887
16,1093.0,-89.865818,35.740887
17,1093.0,-89.865818,35.740887
18,1093.0,-89.865818,35.740887
19,1093.0,-89.865818,35.740887
