stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1206.6,-89.588124,36.151972
-14,1219.4,-89.588124,36.151972
-13,1242.0,-89.588124,36.151972
-12,1327.1,-89.589221,36.155518
-11,1411.7,-89.588124,36.151972
-10,1411.7,-89.588124,36.151972
-9,1411.7,-89.588124,36.151972
-8,1411.7,-89.588124,36.151972
-7,1411.7,-89.588124,36.151972
-6,1411.7,-89.588124,36.151972
-5,1411.7,-89.588124,36.151972
-4,1411.7,-89.588124,36.151972
-3,1411.7,-89.588124,36.151972
-2,1411.7,-89.588124,36.151972
-1,1411.7,-89.588124,36.151972
0,1411.7,-89.588124,36.151972
1,1411.7,-89.588124,36.151972
2,1411.7,-89.588124,36.151972
3,1411.7,-89.588124,36.151972
4,1411.7,-89.588124,36.151972
5,1411.7,-89.588124,36.151972
6,1411.7,-89.588124,36.151972
7,1411.7,-89.588124,36.151972
8,1411.7,-89.588124,36.151972
9,1411.7,-89.588124,36.151972
10,1411.7,-89.588124,36.151972
11,1411.7,-89.588124,36.151972
12,1411.7,-89.588124,36.151972
13,1411.7,-89.588124,36.151972
14,1411.7,-89.588124,36.151972
15,1411.7,-89.588124,36.151972
16,1411.7,-89.588124,36.151972
17,1411.7,-89.588124,36.151972
18,1411.7,-89.588124,36.151972
19,1411.7,-89.588124,36.151972
