stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,502.3,-89.600515,36.347212
-14,547.1,-89.600515,36.347212
-13,710.2,-89.600515,36.347212
-12,845.1,-89.600515,36.347212
-11,937.1,-89.600515,36.347212
-10,1010.5,-89.600515,36.347212
-9,1250.8,-89.596437,36.347243
-8,1287.3,-89.596437,36.347243
-7,1355.3,-89.596437,36.347243
-6,1419.2,-89.615944,36.341975
-5,1453.8,-89.615944,36.341975
-4,1532.6,-89.559358,36.336139
-3,1532.6,-89.559358,36.336139
-2,1532.6,-89.559358,36.336139
-1,1532.6,-89.559358,36.336139
0,1532.6,-89.559358,36.336139
1,1532.6,-89.559358,36.336139
2,1532.6,-89.559358,36.336139
3,1532.6,-89.559358,36.336139
4,1532.6,-89.559358,36.336139
5,1532.6,-89.559358,36.336139
6,1532.6,-89.559358,36.336139
7,1532.6,-89.559358,36.336139
8,1532.6,-89.559358,36.336139
9,1532.6,-89.559358,36.336139
10,1532.6,-89.559358,36.336139
11,1532.6,-89.559358,36.336139
12,1532.6,-89.559358,36.336139
13,1532.6,-89.559358,36.336139
14,1532.6,-89.559358,36.336139
15,1532.6,-89.559358,36.336139
16,1532.6,-89.559358,36.336139
17,1532.6,-89.559358,36.336139
18,1532.6,-89.559358,36.336139
19,1532.6,-89.559358,36.336139
