stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,475.8,-89.587493,36.345257
-14,682.7,-89.547825,36.334547
-13,719.6,-89.547825,36.334547
-12,824.5,-89.591388,36.346973
-11,849.9,-89.591388,36.346973
-10,940.6,-89.590734,36.347044
-9,1048.6,-89.531161,36.335044
-8,1048.6,-89.531161,36.335044
-7,1048.6,-89.531161,36.335044
-6,1048.6,-89.531161,36.335044
-5,1048.6,-89.531161,36.335044
-4,1048.6,-89.531161,36.335044
-3,1048.6,-89.531161,36.335044
-2,1048.6,-89.531161,36.335044
-1,1048.6,-89.531161,36.335044
0,1048.6,-89.531161,36.335044
1,1048.6,-89.531161,36.335044
2,1048.6,-89.531161,36.335044
3,1048.6,-89.531161,36.335044
4,1048.6,-89.531161,36.335044
5,1048.6,-89.531161,36.335044
6,1048.6,-89.531161,36.335044
7,1048.6,-89.531161,36.335044
8,1048.6,-89.531161,36.335044
9,1048.6,-89.531161,36.335044
10,1048.6,-89.531161,36.335044
11,1048.6,-89.531161,36.335044
12,1048.6,-89.531161,36.335044
13,1048.6,-89.531161,36.335044
14,1048.6,-89.531161,36.335044
15,1048.6,-89.531161,36.335044
16,1048.6,-89.531161,36.335044
17,1048.6,-89.531161,36.335044
18,1048.6,-89.531161,36.335044
19,1048.6,-89.531161,36.335044
