stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1049.9,-89.620652,36.321255
-14,1049.9,-89.619791,36.319583
-13,1082.7,-89.61936,36.318747
-12,1082.7,-89.619791,36.319583
-11,1082.7,-89.619791,36.319583
-10,1082.7,-89.620264,36.32042
-9,1115.5,-89.620264,36.32042
-8,1148.3,-89.617687,36.316227
-7,1148.3,-89.617687,36.316227
-6,1148.3,-89.617687,36.316227
-5,1181.1,-89.620652,36.321255
-4,1213.9,-89.617687,36.316227
-3,1213.9,-89.617687,36.316227
-2,1213.9,-89.617687,36.316227
-1,1246.7,-89.617687,36.316227
0,1246.7,-89.617687,36.316227
1,1246.7,-89.617687,36.316227
2,1279.5,-89.617687,36.316227
3,1279.5,-89.617687,36.316227
4,1279.5,-89.617687,36.316227
5,1279.5,-89.617687,36.316227
6,1312.3,-89.617687,36.316227
7,1312.3,-89.620264,36.32042
8,1345.1,-89.617687,36.316227
9,1345.1,-89.617687,36.316227
10,1345.1,-89.617687,36.316227
11,1345.1,-89.617687,36.316227
12,1378.0,-89.617687,36.316227
13,1378.0,-89.617687,36.316227
14,1378.0,-89.617687,36.316227
15,1378.0,-89.617687,36.316227
16,1410.8,-89.617687,36.316227
17,1410.8,-89.618287,36.317068
18,1476.4,-89.620264,36.32042
19,1673.2,-89.62243,36.326249
