stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,557.7,-89.583882,36.138961
-14,623.4,-89.583882,36.138961
-13,656.2,-89.583882,36.138961
-12,721.8,-89.583882,36.138961
-11,1082.7,-89.591126,36.120217
-10,1148.3,-89.58878,36.122622
-9,1213.9,-89.587687,36.123415
-8,1279.5,-89.584219,36.12826
-7,1312.3,-89.589703,36.121824
-6,1345.1,-89.589703,36.121824
-5,1410.8,-89.589703,36.121824
-4,1443.6,-89.589703,36.121824
-3,1706.0,-89.583634,36.129067
-2,1706.0,-89.583634,36.129067
-1,1804.5,-89.589916,36.158908
0,1804.5,-89.589916,36.158908
1,1804.5,-89.589916,36.158908
2,1804.5,-89.589916,36.158908
3,1804.5,-89.589916,36.158908
4,1804.5,-89.589916,36.158908
5,1804.5,-89.589916,36.158908
6,1804.5,-89.589916,36.158908
7,1804.5,-89.589916,36.158908
8,1804.5,-89.589916,36.158908
9,1804.5,-89.589916,36.158908
10,1804.5,-89.589916,36.158908
11,1804.5,-89.589916,36.158908
12,1804.5,-89.589916,36.158908
13,1804.5,-89.589916,36.158908
14,1804.5,-89.589916,36.158908
15,1804.5,-89.589916,36.158908
16,1804.5,-89.589916,36.158908
17,1804.5,-89.589916,36.158908
18,1804.5,-89.589916,36.158908
19,1804.5,-89.589916,36.158908
