stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1148.3,-89.598004,36.116576
-14,1181.1,-89.598004,36.116576
-13,1181.1,-89.598004,36.116576
-12,1213.9,-89.598004,36.116576
-11,1312.3,-89.598004,36.116576
-10,1410.8,-89.598004,36.116576
-9,1574.8,-89.59649,36.117357
-8,1706.0,-89.584573,36.127729
-7,1771.7,-89.584573,36.127729
-6,1771.7,-89.580135,36.138314
-5,1771.7,-89.580135,36.138314
-4,1771.7,-89.580135,36.138314
-3,1771.7,-89.580135,36.138314
-2,1771.7,-89.580135,36.138314
-1,1771.7,-89.580135,36.138314
0,1771.7,-89.580135,36.138314
1,1771.7,-89.580135,36.138314
2,1771.7,-89.580135,36.138314
3,1771.7,-89.580135,36.138314
4,1771.7,-89.580135,36.138314
5,1771.7,-89.580135,36.138314
6,1771.7,-89.580135,36.138314
7,1771.7,-89.580135,36.138314
8,1771.7,-89.580135,36.138314
9,1771.7,-89.580135,36.138314
10,1771.7,-89.580135,36.138314
11,1771.7,-89.580135,36.138314
12,1771.7,-89.580135,36.138314
13,1771.7,-89.580135,36.138314
14,1771.7,-89.580135,36.138314
15,1771.7,-89.580135,36.138314
16,1771.7,-89.580135,36.138314
17,1771.7,-89.580135,36.138314
18,1771.7,-89.580135,36.138314
19,1771.7,-89.580135,36.138314
