stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,626.8,-89.689793,36.223236
-14,627.1,-89.689793,36.223236
-13,693.5,-89.689793,36.223236
-12,693.7,-89.689793,36.223236
-11,694.0,-89.689793,36.223236
-10,694.2,-89.689793,36.223236
-9,694.4,-89.689793,36.223236
-8,694.6,-89.689793,36.223236
-7,751.7,-89.687518,36.220996
-6,751.7,-89.687518,36.220996
-5,751.7,-89.687518,36.220996
-4,751.7,-89.687518,36.220996
-3,751.7,-89.687518,36.220996
-2,751.7,-89.687518,36.220996
-1,751.7,-89.687518,36.220996
0,751.7,-89.687518,36.220996
1,751.7,-89.687518,36.220996
2,751.7,-89.687518,36.220996
3,751.7,-89.687518,36.220996
4,751.7,-89.687518,36.220996
5,751.7,-89.687518,36.220996
6,751.7,-89.687518,36.220996
7,751.7,-89.687518,36.220996
8,751.7,-89.687518,36.220996
9,751.7,-89.687518,36.220996
10,751.7,-89.687518,36.220996
11,751.7,-89.687518,36.220996
12,751.7,-89.687518,36.220996
13,751.7,-89.687518,36.220996
14,751.7,-89.687518,36.220996
15,751.7,-89.687518,36.220996
16,751.7,-89.687518,36.220996
17,751.7,-89.687518,36.220996
18,751.7,-89.687518,36.220996
19,751.7,-89.687518,36.220996
