stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,899.8,-89.445295,36.462812
-14,1173.8,-89.440155,36.464823
-13,1175.4,-89.440155,36.464823
-12,1177.1,-89.440155,36.464823
-11,1178.8,-89.440155,36.464823
-10,1180.5,-89.440155,36.464823
-9,1182.2,-89.440155,36.464823
-8,1183.8,-89.440155,36.464823
-7,1185.5,-89.440155,36.464823
-6,1187.2,-89.440155,36.464823
-5,1188.9,-89.440155,36.464823
-4,1190.6,-89.440155,36.464823
-3,1192.2,-89.440155,36.464823
-2,1193.9,-89.440155,36.464823
-1,1195.6,-89.440155,36.464823
0,1197.3,-89.440155,36.464823
1,1199.0,-89.440155,36.464823
2,1200.6,-89.440155,36.464823
3,1202.3,-89.440155,36.464823
4,1204.0,-89.440155,36.464823
5,1205.7,-89.440155,36.464823
6,1207.3,-89.440155,36.464823
7,1305.2,-89.440155,36.464823
8,1305.2,-89.440155,36.464823
9,1305.2,-89.440155,36.464823
10,1305.2,-89.440155,36.464823
11,1305.2,-89.440155,36.464823
12,1305.2,-89.440155,36.464823
13,1305.2,-89.440155,36.464823
14,1305.2,-89.440155,36.464823
15,1305.2,-89.440155,36.464823
16,1305.2,-89.440155,36.464823
17,1305.2,-89.440155,36.464823
18,1305.2,-89.440155,36.464823
19,1305.2,-89.440155,36.464823
