stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,46.1,-89.553083,36.568746
-14,90.1,-89.553083,36.568746
-13,98.9,-89.553083,36.568746
-12,284.8,-89.553083,36.568746
-11,794.0,-89.566265,36.552333
-10,809.7,-89.566265,36.552333
-9,993.1,-89.562868,36.558712
-8,1047.7,-89.56776,36.549042
-7,1081.1,-89.56776,36.549042
-6,1147.0,-89.56776,36.549042
-5,1178.9,-89.56776,36.549042
-4,1299.6,-89.558804,36.563463
-3,1299.6,-89.558804,36.563463
-2,1299.6,-89.558804,36.563463
-1,1299.6,-89.558804,36.563463
0,1299.6,-89.558804,36.563463
1,1299.6,-89.558804,36.563463
2,1299.6,-89.558804,36.563463
3,1299.6,-89.558804,36.563463
4,1299.6,-89.558804,36.563463
5,1299.6,-89.558804,36.563463
6,1299.6,-89.558804,36.563463
7,1299.6,-89.558804,36.563463
8,1299.6,-89.558804,36.563463
9,1299.6,-89.558804,36.563463
10,1299.6,-89.558804,36.563463
11,1299.6,-89.558804,36.563463
12,1299.6,-89.558804,36.563463
13,1299.6,-89.558804,36.563463
14,1299.6,-89.558804,36.563463
15,1299.6,-89.558804,36.563463
16,1299.6,-89.558804,36.563463
17,1299.6,-89.558804,36.563463
18,1299.6,-89.558804,36.563463
19,1299.6,-89.558804,36.563463
