stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-89.471585,36.457664
-14,0.0,-89.471585,36.457664
-13,0.0,-89.471585,36.457664
-12,0.0,-89.469849,36.457858
-11,0.0,-89.469849,36.457858
-10,951.4,-89.489031,36.460708
-9,984.3,-89.489031,36.460708
-8,1049.9,-89.489031,36.460708
-7,1082.7,-89.489031,36.460708
-6,1246.7,-89.490019,36.461424
-5,1312.3,-89.490019,36.461424
-4,1542.0,-89.496783,36.469759
-3,1640.4,-89.496783,36.469759
-2,1804.5,-89.492957,36.46412
-1,1804.5,-89.492957,36.46412
0,1804.5,-89.492957,36.46412
1,1804.5,-89.492957,36.46412
2,1804.5,-89.492957,36.46412
3,1804.5,-89.492957,36.46412
4,1804.5,-89.491988,36.462992
5,1804.5,-89.491988,36.462992
6,1804.5,-89.491988,36.462992
7,1804.5,-89.491988,36.462992
8,1837.3,-89.492957,36.46412
9,1837.3,-89.492957,36.46412
10,1837.3,-89.492957,36.46412
11,1837.3,-89.492957,36.46412
12,1837.3,-89.492957,36.46412
13,1837.3,-89.491988,36.462992
14,1837.3,-89.484068,36.457678
15,1837.3,-89.484068,36.457678
16,1837.3,-89.484068,36.457678
17,1837.3,-89.484068,36.457678
18,1837.3,-89.484068,36.457678
19,1837.3,-89.484068,36.457678
