stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1148.3,-89.41025,36.497258
-14,1148.3,-89.407963,36.506252
-13,1213.9,-89.409999,36.498075
-12,1279.5,-89.409999,36.498075
-11,1312.3,-89.409999,36.498075
-10,1345.1,-89.409999,36.498075
-9,1443.6,-89.409999,36.498075
-8,1476.4,-89.409999,36.498075
-7,1640.4,-89.409999,36.498075
-6,1706.0,-89.409999,36.498075
-5,1771.7,-89.409999,36.498075
-4,1837.3,-89.41025,36.497258
-3,1837.3,-89.407797,36.507071
-2,1837.3,-89.407254,36.508702
-1,1870.1,-89.407963,36.506252
0,1870.1,-89.407963,36.506252
1,1870.1,-89.407797,36.507071
2,1870.1,-89.407797,36.507071
3,1870.1,-89.40759,36.507888
4,1870.1,-89.40759,36.507888
5,1870.1,-89.407254,36.508702
6,1870.1,-89.407254,36.508702
7,1870.1,-89.407254,36.508702
8,1902.9,-89.407254,36.508702
9,1902.9,-89.407254,36.508702
10,1935.7,-89.407254,36.508702
11,1935.7,-89.407396,36.543309
12,1935.7,-89.407396,36.543309
13,1935.7,-89.407396,36.543309
14,1935.7,-89.407396,36.543309
15,1935.7,-89.407396,36.543309
16,1935.7,-89.407396,36.543309
17,1935.7,-89.407396,36.543309
18,1935.7,-89.407396,36.543309
19,1935.7,-89.407396,36.543309
