stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,656.2,-89.313877,36.605056
-14,689.0,-89.313877,36.605056
-13,984.3,-89.333456,36.601576
-12,1082.7,-89.333456,36.601576
-11,1082.7,-89.333456,36.601576
-10,1115.5,-89.333456,36.601576
-9,1181.1,-89.333456,36.601576
-8,1213.9,-89.333456,36.601576
-7,1312.3,-89.334498,36.601162
-6,1345.1,-89.333456,36.601576
-5,1410.8,-89.335534,36.60085
-4,1443.6,-89.335534,36.60085
-3,1509.2,-89.334498,36.601162
-2,1542.0,-89.334498,36.601162
-1,1574.8,-89.334498,36.601162
0,1706.0,-89.335534,36.60085
1,1771.7,-89.336571,36.600539
2,1804.5,-89.336571,36.600539
3,1902.9,-89.336571,36.600539
4,1902.9,-89.324103,36.604892
5,1902.9,-89.324103,36.604892
6,1935.7,-89.324103,36.604892
7,1935.7,-89.324103,36.604892
8,1935.7,-89.324103,36.604892
9,1935.7,-89.324103,36.604892
10,1935.7,-89.324103,36.604892
11,2001.3,-89.336571,36.600539
12,2001.3,-89.336571,36.600539
13,2001.3,-89.336571,36.600539
14,2001.3,-89.336571,36.600539
15,2001.3,-89.336571,36.600539
16,2001.3,-89.336571,36.600539
17,2001.3,-89.336571,36.600539
18,2001.3,-89.336571,36.600539
19,2001.3,-89.336571,36.600539
