stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1082.5,-89.173561,36.647504
-14,1106.7,-89.173561,36.647504
-13,1178.1,-89.173561,36.647504
-12,1178.1,-89.173561,36.647504
-11,1178.1,-89.173561,36.647504
-10,1178.1,-89.173561,36.647504
-9,1178.1,-89.173561,36.647504
-8,1178.1,-89.173561,36.647504
-7,1178.1,-89.173561,36.647504
-6,1178.1,-89.173561,36.647504
-5,1178.1,-89.173561,36.647504
-4,1178.1,-89.173561,36.647504
-3,1178.1,-89.173561,36.647504
-2,1178.1,-89.173561,36.647504
-1,1178.1,-89.173561,36.647504
0,1178.1,-89.173561,36.647504
1,1178.1,-89.173561,36.647504
2,1178.1,-89.173561,36.647504
3,1178.1,-89.173561,36.647504
4,1178.1,-89.173561,36.647504
5,1178.1,-89.173561,36.647504
6,1178.1,-89.173561,36.647504
7,1178.1,-89.173561,36.647504
8,1178.1,-89.173561,36.647504
9,1178.1,-89.173561,36.647504
10,1178.1,-89.173561,36.647504
11,1178.1,-89.173561,36.647504
12,1178.1,-89.173561,36.647504
13,1178.1,-89.173561,36.647504
14,1178.1,-89.173561,36.647504
15,1178.1,-89.173561,36.647504
16,1178.1,-89.173561,36.647504
17,1178.1,-89.173561,36.647504
18,1178.1,-89.173561,36.647504
19,1178.1,-89.173561,36.647504
