stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1049.9,-89.239527,36.5646
-14,1049.9,-89.239527,36.5646
-13,1049.9,-89.239527,36.5646
-12,1082.7,-89.239527,36.5646
-11,1082.7,-89.239527,36.5646
-10,1082.7,-89.239527,36.5646
-9,1115.5,-89.239527,36.5646
-8,1148.3,-89.239527,36.5646
-7,1148.3,-89.239527,36.5646
-6,1148.3,-89.239527,36.5646
-5,1148.3,-89.239527,36.5646
-4,1148.3,-89.239527,36.5646
-3,1148.3,-89.239527,36.5646
-2,1148.3,-89.239527,36.5646
-1,1148.3,-89.239527,36.5646
0,1148.3,-89.239527,36.5646
1,1148.3,-89.239527,36.5646
2,1148.3,-89.239527,36.5646
3,1148.3,-89.239527,36.5646
4,1148.3,-89.239527,36.5646
5,1148.3,-89.239527,36.5646
6,1148.3,-89.239527,36.5646
7,1148.3,-89.239527,36.5646
8,1148.3,-89.239527,36.5646
9,1148.3,-89.239527,36.5646
10,1148.3,-89.239527,36.5646
11,1148.3,-89.239527,36.5646
12,1148.3,-89.239527,36.5646
13,1148.3,-89.239527,36.5646
14,1148.3,-89.239527,36.5646
15,1148.3,-89.239527,36.5646
16,1148.3,-89.239527,36.5646
17,1148.3,-89.239527,36.5646
18,1148.3,-89.239527,36.5646
19,1148.3,-89.239527,36.5646
