stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-8,777.2,-89.496049,37.249703
-7,827.2,-89.496049,37.249703
-6,852.6,-89.496049,37.249703
-5,959.3,-89.496049,37.249703
-4,975.0,-89.496049,37.249703
-3,1004.4,-89.496049,37.249703
-2,1067.5,-89.496049,37.249703
-1,1095.7,-89.496049,37.249703
0,1136.6,-89.496049,37.249703
1,1235.0,-89.496049,37.249703
2,1342.9,-89.496049,37.249703
3,1353.6,-89.496049,37.249703
4,1371.6,-89.496049,37.249703
5,1371.6,-89.496049,37.249703
6,1371.6,-89.496049,37.249703
7,1371.6,-89.496049,37.249703
8,1371.6,-89.496049,37.249703
9,1371.6,-89.496049,37.249703
10,1371.6,-89.496049,37.249703
11,1371.6,-89.496049,37.249703
12,1371.6,-89.496049,37.249703
13,1371.6,-89.496049,37.249703
14,1371.6,-89.496049,37.249703
15,1371.6,-89.496049,37.249703
16,1371.6,-89.496049,37.249703
17,1371.6,-89.496049,37.249703
18,1371.6,-89.496049,37.249703
