stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-8,0.0,-90.260753,38.529481
-7,0.0,-90.260987,38.529284
-6,0.0,-90.260987,38.529284
-5,173.8,-90.260753,38.529481
-4,236.2,-90.260753,38.529481
-3,353.9,-90.26247,38.528185
-2,373.7,-90.26247,38.528185
-1,457.5,-90.265166,38.521265
0,467.8,-90.265166,38.521265
1,687.5,-90.263379,38.526249
2,860.9,-90.259325,38.530949
3,879.8,-90.258382,38.532664
4,879.8,-90.258382,38.532664
5,879.8,-90.258382,38.532664
6,879.8,-90.258382,38.532664
7,879.8,-90.258382,38.532664
8,879.8,-90.258382,38.532664
9,879.8,-90.258382,38.532664
10,879.8,-90.258382,38.532664
11,879.8,-90.258382,38.532664
12,879.8,-90.258382,38.532664
13,879.8,-90.258382,38.532664
14,879.8,-90.258382,38.532664
15,879.8,-90.258382,38.532664
16,879.8,-90.258382,38.532664
17,879.8,-90.258382,38.532664
18,879.8,-90.258382,38.532664
