stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-8,0.0,-90.120246,38.795382
-7,0.0,-90.120246,38.795382
-6,0.0,-90.120568,38.795287
-5,0.0,-90.120568,38.795287
-4,0.0,-90.120568,38.795287
-3,0.0,-90.121574,38.795182
-2,0.0,-90.121574,38.795182
-1,6.6,-90.121574,38.795182
0,15.3,-90.121574,38.795182
1,24.0,-90.121574,38.795182
2,32.7,-90.121574,38.795182
3,41.4,-90.121574,38.795182
4,50.1,-90.121574,38.795182
5,58.7,-90.121574,38.795182
6,67.4,-90.121574,38.795182
7,76.1,-90.121574,38.795182
8,113.3,-90.121574,38.795182
9,126.2,-90.121574,38.795182
10,139.1,-90.121574,38.795182
11,194.9,-90.121574,38.795182
12,519.5,-90.121574,38.795182
13,524.4,-90.121574,38.795182
14,529.4,-90.121574,38.795182
15,534.3,-90.121574,38.795182
16,539.2,-90.121574,38.795182
17,544.1,-90.121574,38.795182
18,549.1,-90.121574,38.795182
