stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-8,110.2,-90.32507,38.182475
-7,124.2,-90.32507,38.182475
-6,138.2,-90.32507,38.182475
-5,368.1,-90.32507,38.182475
-4,717.4,-90.326267,38.183438
-3,793.1,-90.328279,38.184873
-2,829.4,-90.328279,38.184873
-1,850.5,-90.331322,38.187773
0,850.5,-90.331322,38.187773
1,850.5,-90.331322,38.187773
2,850.5,-90.331322,38.187773
3,850.5,-90.331322,38.187773
4,850.5,-90.331322,38.187773
5,850.5,-90.331322,38.187773
6,850.5,-90.331322,38.187773
7,850.5,-90.331322,38.187773
8,850.5,-90.331322,38.187773
9,850.5,-90.331322,38.187773
10,850.5,-90.331322,38.187773
11,850.5,-90.331322,38.187773
12,850.5,-90.331322,38.187773
13,850.5,-90.331322,38.187773
14,850.5,-90.331322,38.187773
15,850.5,-90.331322,38.187773
16,850.5,-90.331322,38.187773
17,850.5,-90.331322,38.187773
18,850.5,-90.331322,38.187773
