stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1428.0,-91.604775,31.149672
-2,1450.3,-91.607093,31.148056
-1,1471.4,-91.607093,31.148056
0,1546.0,-91.607093,31.148056
1,1589.9,-91.607093,31.148056
2,1643.3,-91.604775,31.149672
3,1664.5,-91.601785,31.151793
4,1702.9,-91.607093,31.148056
5,1734.0,-91.607093,31.148056
6,1787.5,-91.604775,31.149672
7,1822.3,-91.604775,31.149672
8,1872.1,-91.604775,31.149672
9,1896.1,-91.604775,31.149672
10,1920.1,-91.604775,31.149672
11,1946.9,-91.604775,31.149672
12,1974.9,-91.604775,31.149672
13,2076.2,-91.601785,31.151793
14,2100.6,-91.601785,31.151793
15,2129.6,-91.601785,31.151793
16,2180.6,-91.601785,31.151793
17,2229.0,-91.601785,31.151793
18,2268.1,-91.601785,31.151793
19,2303.5,-91.601785,31.151793
20,2320.8,-91.601785,31.151793
21,2338.1,-91.601785,31.151793
22,2349.7,-91.601785,31.151793
23,2349.7,-91.601785,31.151793
24,2349.7,-91.601785,31.151793
25,2349.7,-91.601785,31.151793
26,2349.7,-91.601785,31.151793
27,2349.7,-91.601785,31.151793
28,2349.7,-91.601785,31.151793
29,2349.7,-91.601785,31.151793
30,2349.7,-91.601785,31.151793
31,2349.7,-91.601785,31.151793
32,2349.7,-91.601785,31.151793
33,2349.7,-91.601785,31.151793
34,2349.7,-91.601785,31.151793
35,2349.7,-91.601785,31.151793
36,2349.7,-91.601785,31.151793
