stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,0.0,-91.520536,31.283842
-2,0.0,-91.520147,31.280976
-1,0.0,-91.520147,31.280976
0,0.0,-91.522866,31.276325
1,573.5,-91.520147,31.280976
2,730.3,-91.520147,31.280976
3,1325.7,-91.518869,31.288434
4,1382.7,-91.518869,31.288434
5,1505.8,-91.535318,31.261734
6,1524.5,-91.535318,31.261734
7,1543.1,-91.535318,31.261734
8,1556.5,-91.535318,31.261734
9,1567.5,-91.535318,31.261734
10,1578.5,-91.535318,31.261734
11,1589.6,-91.535318,31.261734
12,1605.9,-91.535318,31.261734
13,1654.7,-91.535318,31.261734
14,1696.7,-91.535318,31.261734
15,1804.2,-91.535318,31.261734
16,1833.7,-91.535318,31.261734
17,1882.2,-91.535318,31.261734
18,1954.6,-91.535318,31.261734
19,1990.2,-91.535318,31.261734
20,2025.9,-91.535318,31.261734
21,2081.7,-91.535318,31.261734
22,2167.6,-91.535318,31.261734
23,2247.9,-91.535318,31.261734
24,3443.0,-91.514304,31.30779
25,3443.0,-91.514304,31.30779
26,3443.0,-91.514304,31.30779
27,3443.0,-91.514304,31.30779
28,3443.0,-91.514304,31.30779
29,3443.0,-91.514304,31.30779
30,3443.0,-91.514304,31.30779
31,3443.0,-91.514304,31.30779
32,3443.0,-91.514304,31.30779
33,3443.0,-91.514304,31.30779
34,3443.0,-91.514304,31.30779
35,3443.0,-91.514304,31.30779
36,3443.0,-91.514304,31.30779
