stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,689.0,-91.638036,31.228929
-2,689.0,-91.638036,31.228929
-1,721.8,-91.638036,31.228929
0,721.8,-91.638036,31.228929
1,721.8,-91.638036,31.228929
2,721.8,-91.638036,31.228929
3,721.8,-91.638036,31.228929
4,721.8,-91.638036,31.228929
5,721.8,-91.638036,31.228929
6,721.8,-91.638036,31.228929
7,721.8,-91.638036,31.228929
8,754.6,-91.638996,31.22894
9,754.6,-91.638996,31.22894
10,754.6,-91.638996,31.22894
11,754.6,-91.638996,31.22894
12,754.6,-91.638996,31.22894
13,754.6,-91.638996,31.22894
14,754.6,-91.638996,31.22894
15,754.6,-91.638996,31.22894
16,754.6,-91.638996,31.22894
17,754.6,-91.638996,31.22894
18,754.6,-91.638996,31.22894
19,754.6,-91.638996,31.22894
20,754.6,-91.638996,31.22894
21,754.6,-91.638996,31.22894
22,754.6,-91.638996,31.22894
23,754.6,-91.638996,31.22894
24,754.6,-91.638996,31.22894
25,754.6,-91.638996,31.22894
26,754.6,-91.638996,31.22894
27,754.6,-91.638996,31.22894
28,754.6,-91.638996,31.22894
29,754.6,-91.638996,31.22894
30,754.6,-91.638996,31.22894
31,754.6,-91.638996,31.22894
32,754.6,-91.638996,31.22894
33,754.6,-91.638996,31.22894
34,754.6,-91.638996,31.22894
35,754.6,-91.638996,31.22894
36,754.6,-91.638996,31.22894
