stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1037.1,-91.464928,31.374729
-2,1130.4,-91.464928,31.374729
-1,1174.6,-91.464928,31.374729
0,1218.9,-91.464928,31.374729
1,1255.0,-91.464928,31.374729
2,1286.5,-91.464928,31.374729
3,1327.6,-91.464928,31.374729
4,1370.3,-91.464928,31.374729
5,1419.3,-91.473025,31.36278
6,1428.7,-91.473025,31.36278
7,1438.1,-91.473025,31.36278
8,1447.5,-91.473025,31.36278
9,1456.8,-91.473025,31.36278
10,1466.2,-91.473025,31.36278
11,1508.1,-91.473025,31.36278
12,1531.3,-91.473025,31.36278
13,1544.9,-91.473025,31.36278
14,1558.6,-91.473025,31.36278
15,1572.3,-91.473025,31.36278
16,1589.8,-91.473025,31.36278
17,1611.8,-91.473025,31.36278
18,1633.8,-91.473025,31.36278
19,1696.0,-91.473025,31.36278
20,1850.7,-91.473025,31.36278
21,1879.2,-91.473025,31.36278
22,1973.5,-91.473025,31.36278
23,2023.5,-91.473025,31.36278
24,2116.0,-91.473025,31.36278
25,2237.0,-91.473025,31.36278
26,2383.9,-91.473025,31.36278
27,2402.5,-91.473025,31.36278
28,2630.9,-91.473025,31.36278
29,2664.5,-91.473025,31.36278
30,2925.6,-91.473025,31.36278
31,3153.9,-91.473025,31.36278
32,3242.9,-91.473025,31.36278
33,3263.9,-91.473025,31.36278
34,3284.9,-91.473025,31.36278
35,3890.2,-91.473025,31.36278
36,3890.2,-91.473025,31.36278
