stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1302.4,-91.400698,31.614069
-2,1329.8,-91.400698,31.614069
-1,1359.9,-91.400698,31.614069
0,1410.6,-91.400698,31.614069
1,1536.2,-91.39915,31.616692
2,1570.5,-91.39915,31.616692
3,1710.7,-91.400988,31.668881
4,1725.9,-91.400988,31.668881
5,1742.4,-91.400988,31.668881
6,1759.3,-91.400988,31.668881
7,1776.1,-91.400988,31.668881
8,1793.2,-91.400988,31.668881
9,1819.5,-91.400988,31.668881
10,1845.6,-91.400988,31.668881
11,1859.8,-91.400988,31.668881
12,1872.3,-91.400988,31.668881
13,1884.7,-91.400988,31.668881
14,1897.2,-91.400988,31.668881
15,1905.4,-91.400988,31.668881
16,1912.5,-91.400988,31.668881
17,1919.7,-91.400988,31.668881
18,1926.8,-91.400988,31.668881
19,1934.0,-91.400988,31.668881
20,1941.1,-91.400988,31.668881
21,1948.3,-91.400988,31.668881
22,2001.3,-91.400525,31.665969
23,2010.1,-91.400525,31.665969
24,2019.0,-91.400525,31.665969
25,2030.5,-91.400525,31.665969
26,2043.4,-91.400525,31.665969
27,2056.3,-91.400525,31.665969
28,2069.3,-91.400525,31.665969
29,2082.2,-91.400525,31.665969
30,2089.0,-91.399293,31.663115
31,2089.0,-91.399293,31.663115
32,2089.0,-91.399293,31.663115
33,2089.0,-91.399293,31.663115
34,2089.0,-91.399293,31.663115
35,2089.0,-91.399293,31.663115
36,2089.0,-91.399293,31.663115
