stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,0.0,-91.273264,31.85742
-2,0.0,-91.273264,31.85742
-1,465.6,-91.273264,31.85742
0,985.9,-91.273264,31.85742
1,1124.8,-91.328725,31.858262
2,1184.3,-91.328725,31.858262
3,1304.2,-91.328725,31.858262
4,1366.6,-91.328725,31.858262
5,1393.0,-91.328725,31.858262
6,1416.9,-91.328725,31.858262
7,1442.1,-91.328725,31.858262
8,1471.0,-91.328725,31.858262
9,1934.6,-91.325091,31.859317
10,2056.3,-91.325091,31.859317
11,2092.0,-91.325091,31.859317
12,2131.6,-91.325091,31.859317
13,2171.8,-91.325091,31.859317
14,2193.0,-91.325091,31.859317
15,2213.5,-91.325091,31.859317
16,2236.7,-91.325091,31.859317
17,2344.6,-91.325091,31.859317
18,2785.6,-91.321352,31.859823
19,2830.3,-91.328725,31.858262
20,2864.4,-91.328725,31.858262
21,2961.9,-91.328725,31.858262
22,2983.5,-91.328725,31.858262
23,3026.6,-91.250879,31.864751
24,3100.7,-91.328725,31.858262
25,3131.5,-91.328725,31.858262
26,3173.5,-91.328725,31.858262
27,3305.1,-91.328725,31.858262
28,3349.8,-91.250879,31.864751
29,3349.8,-91.250879,31.864751
30,3349.8,-91.250879,31.864751
31,3349.8,-91.250879,31.864751
32,3349.8,-91.250879,31.864751
33,3349.8,-91.250879,31.864751
34,3349.8,-91.250879,31.864751
35,3349.8,-91.250879,31.864751
36,3349.8,-91.250879,31.864751
