stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,0.0,-91.074197,32.076472
-2,0.0,-91.070973,32.074462
-1,0.0,-91.070973,32.074462
0,0.0,-91.070973,32.074462
1,0.0,-91.06812,32.071765
2,0.0,-91.06812,32.071765
3,0.0,-91.06812,32.071765
4,0.0,-91.06812,32.071765
5,0.0,-91.06812,32.071765
6,535.3,-91.06812,32.071765
7,755.8,-91.06812,32.071765
8,1119.5,-91.110706,32.119191
9,1136.3,-91.110706,32.119191
10,1153.1,-91.110706,32.119191
11,1170.0,-91.110706,32.119191
12,1187.9,-91.110706,32.119191
13,1216.9,-91.110706,32.119191
14,1235.4,-91.107391,32.113455
15,1244.4,-91.107391,32.113455
16,1253.5,-91.107391,32.113455
17,1262.5,-91.107391,32.113455
18,1271.5,-91.107391,32.113455
19,1281.2,-91.107391,32.113455
20,1296.2,-91.107391,32.113455
21,1311.3,-91.107391,32.113455
22,1326.3,-91.107391,32.113455
23,1341.3,-91.107391,32.113455
24,1364.9,-91.107391,32.113455
25,1393.5,-91.107391,32.113455
26,1411.5,-91.109273,32.116222
27,1414.9,-91.109273,32.116222
28,1424.0,-91.109273,32.116222
29,1455.4,-91.109273,32.116222
30,1477.9,-91.109273,32.116222
31,1494.9,-91.109273,32.116222
32,1511.9,-91.109273,32.116222
33,1540.7,-91.109273,32.116222
34,1583.2,-91.105336,32.107646
35,1590.0,-91.105336,32.107646
36,1596.8,-91.105336,32.107646
