stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,0.0,-90.938677,32.348921
-2,0.0,-90.938677,32.348921
-1,0.0,-90.938677,32.348921
0,0.0,-90.938677,32.348921
1,131.8,-90.938677,32.348921
2,207.1,-90.938677,32.348921
3,371.4,-90.910994,32.343946
4,513.0,-90.938677,32.348921
5,663.5,-90.938677,32.348921
6,752.4,-90.931838,32.347737
7,817.5,-90.931838,32.347737
8,858.1,-90.904756,32.34021
9,921.0,-90.897636,32.332273
10,956.7,-90.897636,32.332273
11,989.6,-90.897636,32.332273
12,1066.1,-90.897636,32.332273
13,1095.4,-90.897636,32.332273
14,1207.9,-90.904756,32.34021
15,1268.7,-90.904756,32.34021
16,1338.1,-90.904756,32.34021
17,1594.9,-90.904756,32.34021
18,1796.3,-90.90228,32.317263
19,1817.5,-90.90228,32.317263
20,1836.9,-90.90228,32.317263
21,1930.7,-90.90228,32.317263
22,1948.5,-90.90228,32.317263
23,1968.2,-90.90228,32.317263
24,1988.1,-90.90228,32.317263
25,2008.4,-90.90228,32.317263
26,2029.4,-90.90228,32.317263
27,2085.3,-90.90228,32.317263
28,2085.3,-90.90228,32.317263
29,2085.3,-90.90228,32.317263
30,2085.3,-90.90228,32.317263
31,2085.3,-90.90228,32.317263
32,2085.3,-90.90228,32.317263
33,2085.3,-90.90228,32.317263
34,2085.3,-90.90228,32.317263
35,2085.3,-90.90228,32.317263
36,2085.3,-90.90228,32.317263
