stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,272.5,-91.007607,32.421282
-2,865.0,-91.041623,32.432021
-1,1047.3,-91.041623,32.432021
0,1172.9,-90.994208,32.41543
1,1214.4,-90.994208,32.41543
2,1255.2,-90.994208,32.41543
3,1368.7,-91.041623,32.432021
4,1486.1,-91.041623,32.432021
5,1644.4,-90.994208,32.41543
6,1788.3,-90.994208,32.41543
7,1829.3,-90.994208,32.41543
8,1873.5,-90.994208,32.41543
9,1919.5,-90.994208,32.41543
10,1956.4,-90.994208,32.41543
11,1988.9,-90.994208,32.41543
12,2114.3,-90.994208,32.41543
13,2249.6,-91.041623,32.432021
14,2249.6,-91.041623,32.432021
15,2249.6,-91.041623,32.432021
16,2249.6,-91.041623,32.432021
17,2249.6,-91.041623,32.432021
18,2249.6,-91.041623,32.432021
19,2249.6,-91.041623,32.432021
20,2249.6,-91.041623,32.432021
21,2249.6,-91.041623,32.432021
22,2249.6,-91.041623,32.432021
23,2249.6,-91.041623,32.432021
24,2249.6,-91.041623,32.432021
25,2249.6,-91.041623,32.432021
26,2249.6,-91.041623,32.432021
27,2249.6,-91.041623,32.432021
28,2249.6,-91.041623,32.432021
29,2249.6,-91.041623,32.432021
30,2249.6,-91.041623,32.432021
31,2249.6,-91.041623,32.432021
32,2249.6,-91.041623,32.432021
33,2249.6,-91.041623,32.432021
34,2249.6,-91.041623,32.432021
35,2249.6,-91.041623,32.432021
36,2249.6,-91.041623,32.432021
