stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,385.4,-91.138713,32.590742
-2,520.2,-91.14731,32.600325
-1,702.5,-91.14731,32.600325
0,876.4,-91.14731,32.600325
1,1008.9,-91.145316,32.597664
2,1045.4,-91.155375,32.632785
3,1061.9,-91.155375,32.632785
4,1078.4,-91.155375,32.632785
5,1095.2,-91.155375,32.632785
6,1112.1,-91.155375,32.632785
7,1129.0,-91.155375,32.632785
8,1158.7,-91.155375,32.632785
9,1205.6,-91.155375,32.632785
10,1253.9,-91.155375,32.632785
11,1280.5,-91.155375,32.632785
12,1305.2,-91.155375,32.632785
13,1328.3,-91.155375,32.632785
14,1361.9,-91.155375,32.632785
15,1413.4,-91.155375,32.632785
16,1794.3,-91.155375,32.632785
17,1919.0,-91.155375,32.632785
18,1986.9,-91.154709,32.620635
19,2050.4,-91.154709,32.620635
20,2085.0,-91.154709,32.620635
21,2117.6,-91.154709,32.620635
22,2148.7,-91.154709,32.620635
23,2170.7,-91.154709,32.620635
24,2192.5,-91.154709,32.620635
25,2225.7,-91.154709,32.620635
26,2259.8,-91.154709,32.620635
27,2286.2,-91.154709,32.620635
28,2324.3,-91.154709,32.620635
29,2362.0,-91.154709,32.620635
30,2387.2,-91.154709,32.620635
31,2412.9,-91.154709,32.620635
32,2439.0,-91.154709,32.620635
33,2469.0,-91.154709,32.620635
34,2502.9,-91.154709,32.620635
35,2555.2,-91.154709,32.620635
36,2589.8,-91.154709,32.620635
