stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,0.0,-91.156321,32.747642
-2,0.0,-91.156321,32.747642
-1,1.7,-91.156321,32.747642
0,111.4,-91.156321,32.747642
1,219.4,-91.156321,32.747642
2,412.2,-91.154656,32.744863
3,440.0,-91.154656,32.744863
4,480.7,-91.154656,32.744863
5,679.5,-91.151914,32.73938
6,811.8,-91.153436,32.74215
7,954.8,-91.151914,32.73938
8,1050.8,-91.129693,32.730315
9,1063.0,-91.129693,32.730315
10,1075.3,-91.129693,32.730315
11,1091.9,-91.129693,32.730315
12,1108.5,-91.129693,32.730315
13,1125.1,-91.129693,32.730315
14,1148.3,-91.129693,32.730315
15,1178.1,-91.129693,32.730315
16,1206.5,-91.129693,32.730315
17,1234.1,-91.129693,32.730315
18,1306.0,-91.129693,32.730315
19,1324.9,-91.129693,32.730315
20,1343.7,-91.129693,32.730315
21,1404.3,-91.122593,32.730879
22,1422.6,-91.122593,32.730879
23,1444.4,-91.122593,32.730879
24,1469.1,-91.122593,32.730879
25,1505.6,-91.122593,32.730879
26,1541.9,-91.122593,32.730879
27,1643.8,-91.122593,32.730879
28,1732.7,-91.122593,32.730879
29,1824.2,-91.122593,32.730879
30,1869.5,-91.122593,32.730879
31,1950.8,-91.122593,32.730879
32,2052.9,-91.122593,32.730879
33,2151.8,-91.115718,32.732067
34,2163.8,-91.115718,32.732067
35,2179.6,-91.115718,32.732067
36,2195.4,-91.115718,32.732067
