stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,347.0,-91.103339,33.116255
-2,372.5,-91.103339,33.116255
-1,409.2,-91.103339,33.116255
0,596.4,-91.103339,33.116255
1,650.8,-91.103339,33.116255
2,694.8,-91.103339,33.116255
3,1089.3,-91.106917,33.115182
4,1321.7,-91.127896,33.112681
5,1367.6,-91.131291,33.112456
6,1405.4,-91.131291,33.112456
7,1433.8,-91.127896,33.112681
8,1507.4,-91.131291,33.112456
9,1546.9,-91.131291,33.112456
10,1624.2,-91.127896,33.112681
11,1706.4,-91.127896,33.112681
12,1802.4,-91.13462,33.112096
13,1818.7,-91.13462,33.112096
14,1835.0,-91.13462,33.112096
15,1861.2,-91.13462,33.112096
16,2058.5,-91.13462,33.112096
17,2274.1,-91.131291,33.112456
18,2380.5,-91.13462,33.112096
19,2413.6,-91.13462,33.112096
20,2630.9,-91.127896,33.112681
21,2633.8,-91.127896,33.112681
22,2636.7,-91.127896,33.112681
23,2639.6,-91.127896,33.112681
24,2642.4,-91.127896,33.112681
25,2645.3,-91.127896,33.112681
26,2647.2,-91.127896,33.112681
27,2647.2,-91.127896,33.112681
28,2647.2,-91.127896,33.112681
29,2647.2,-91.127896,33.112681
30,2647.2,-91.127896,33.112681
31,2647.2,-91.127896,33.112681
32,2647.2,-91.127896,33.112681
33,2647.2,-91.127896,33.112681
34,2647.2,-91.127896,33.112681
35,2647.2,-91.127896,33.112681
36,2647.2,-91.127896,33.112681
