stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,0.0,-91.104251,33.232134
-2,0.0,-91.104251,33.232134
-1,0.0,-91.105337,33.238096
0,0.0,-91.105337,33.238096
1,0.0,-91.105337,33.238096
2,0.0,-91.105337,33.238096
3,127.8,-91.105337,33.238096
4,178.0,-91.105337,33.238096
5,421.0,-91.105337,33.238096
6,580.2,-91.105337,33.238096
7,630.7,-91.105337,33.238096
8,798.3,-91.105337,33.238096
9,1032.6,-91.105337,33.238096
10,1801.8,-91.100769,33.230157
11,1833.8,-91.100339,33.226985
12,1857.4,-91.100339,33.226985
13,2067.6,-91.100339,33.226985
14,2140.6,-91.100339,33.226985
15,2178.2,-91.100339,33.226985
16,2229.5,-91.100339,33.226985
17,2281.6,-91.100339,33.226985
18,2756.5,-91.095687,33.21252
19,2853.0,-91.095687,33.21252
20,3013.4,-91.091586,33.19815
21,3059.4,-91.091586,33.19815
22,3106.0,-91.091586,33.19815
23,3188.7,-91.091586,33.19815
24,3227.2,-91.091586,33.19815
25,3273.3,-91.091586,33.19815
26,3362.3,-91.091586,33.19815
27,3484.1,-91.104431,33.235094
28,3524.1,-91.104431,33.235094
29,3650.6,-91.096158,33.222246
30,3662.9,-91.096158,33.222246
31,3675.2,-91.096158,33.222246
32,3687.4,-91.096158,33.222246
33,3718.6,-91.096158,33.222246
34,3743.2,-91.096946,33.218531
35,3743.2,-91.096946,33.218531
36,3743.2,-91.096946,33.218531
