stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,442.9,-91.117767,33.407407
-2,457.1,-91.115293,33.39298
-1,465.2,-91.115293,33.39298
0,473.2,-91.115293,33.39298
1,481.3,-91.115293,33.39298
2,489.4,-91.115293,33.39298
3,497.4,-91.115293,33.39298
4,538.8,-91.114476,33.390274
5,546.4,-91.114476,33.390274
6,554.1,-91.114476,33.390274
7,561.8,-91.114476,33.390274
8,569.4,-91.114476,33.390274
9,577.1,-91.114476,33.390274
10,584.7,-91.114476,33.390274
11,592.4,-91.114476,33.390274
12,601.5,-91.114476,33.390274
13,616.7,-91.114476,33.390274
14,650.2,-91.114476,33.390274
15,683.7,-91.114476,33.390274
16,997.7,-91.115293,33.39298
17,1012.7,-91.115293,33.39298
18,2099.3,-91.114476,33.390274
19,2124.0,-91.114476,33.390274
20,2151.4,-91.114476,33.390274
21,2183.2,-91.114476,33.390274
22,2218.4,-91.114476,33.390274
23,2253.7,-91.114476,33.390274
24,2291.7,-91.114476,33.390274
25,2335.3,-91.114476,33.390274
26,2382.0,-91.114476,33.390274
27,2435.1,-91.114476,33.390274
28,2500.1,-91.114476,33.390274
29,2633.6,-91.114476,33.390274
30,2993.6,-91.113564,33.387783
31,2993.6,-91.113564,33.387783
32,2993.6,-91.113564,33.387783
33,2993.6,-91.113564,33.387783
34,2993.6,-91.113564,33.387783
35,2993.6,-91.113564,33.387783
36,2993.6,-91.113564,33.387783
