stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1324.2,-91.172417,33.566725
-2,1356.3,-91.194255,33.567645
-1,1379.9,-91.194255,33.567645
0,1412.2,-91.172417,33.566725
1,1440.8,-91.172417,33.566725
2,1469.5,-91.172417,33.566725
3,1543.4,-91.172417,33.566725
4,1566.6,-91.172417,33.566725
5,1586.4,-91.172417,33.566725
6,1601.7,-91.172417,33.566725
7,1617.1,-91.172417,33.566725
8,1632.4,-91.172417,33.566725
9,1676.9,-91.172417,33.566725
10,1787.1,-91.165171,33.568558
11,1806.2,-91.165171,33.568558
12,1842.7,-91.165171,33.568558
13,1925.7,-91.165171,33.568558
14,1939.8,-91.165171,33.568558
15,1953.8,-91.165171,33.568558
16,1967.9,-91.165171,33.568558
17,1982.0,-91.165171,33.568558
18,2109.8,-91.194255,33.567645
19,2134.0,-91.194255,33.567645
20,2158.0,-91.194255,33.567645
21,2189.9,-91.194255,33.567645
22,2225.0,-91.194255,33.567645
23,2249.9,-91.194255,33.567645
24,2276.8,-91.194255,33.567645
25,2328.9,-91.194255,33.567645
26,2363.0,-91.194255,33.567645
27,2399.3,-91.194255,33.567645
28,2463.5,-91.194255,33.567645
29,2833.0,-91.190751,33.567182
30,2877.0,-91.190751,33.567182
31,2951.6,-91.190751,33.567182
32,3166.0,-91.179935,33.565515
33,3198.8,-91.179935,33.565515
34,3233.5,-91.179935,33.565515
35,3269.3,-91.179935,33.565515
36,3329.4,-91.179935,33.565515
