stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-3,1292.5,-91.17498,33.701422
-2,1320.0,-91.17498,33.701422
-1,1350.0,-91.17498,33.701422
0,1376.8,-91.17498,33.701422
1,1402.1,-91.17498,33.701422
2,1427.4,-91.17498,33.701422
3,1454.6,-91.17498,33.701422
4,1481.8,-91.17498,33.701422
5,1505.3,-91.17498,33.701422
6,1522.1,-91.137263,33.756619
7,1536.8,-91.137263,33.756619
8,1551.4,-91.137263,33.756619
9,1567.1,-91.137263,33.756619
10,1585.4,-91.137263,33.756619
11,1603.8,-91.137263,33.756619
12,1622.1,-91.137263,33.756619
13,1643.0,-91.135083,33.759042
14,1653.2,-91.135083,33.759042
15,1663.2,-91.135083,33.759042
16,1675.1,-91.135083,33.759042
17,1687.1,-91.135083,33.759042
18,1699.0,-91.135083,33.759042
19,1711.0,-91.135083,33.759042
20,1725.6,-91.135083,33.759042
21,1754.9,-91.135083,33.759042
22,1809.1,-91.137263,33.756619
23,1813.6,-91.137263,33.756619
24,1818.2,-91.137263,33.756619
25,1822.8,-91.137263,33.756619
26,1827.3,-91.137263,33.756619
27,1831.9,-91.137263,33.756619
28,1836.4,-91.137263,33.756619
29,1841.0,-91.137263,33.756619
30,1845.5,-91.137263,33.756619
31,1935.4,-91.137263,33.756619
32,2039.7,-91.137263,33.756619
33,2148.5,-91.1959,33.700336
34,2148.5,-91.1959,33.700336
35,2148.5,-91.1959,33.700336
36,2148.5,-91.1959,33.700336
