stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-91.070448,33.861128
-14,0.0,-91.070448,33.861128
-13,0.0,-91.070448,33.861128
-12,0.0,-91.070448,33.861128
-11,0.0,-91.070448,33.861128
-10,158.3,-91.073544,33.861931
-9,158.3,-91.073544,33.861931
-8,158.3,-91.073544,33.861931
-7,158.3,-91.073544,33.861931
-6,158.3,-91.073544,33.861931
-5,158.3,-91.073544,33.861931
-4,158.3,-91.073544,33.861931
-3,158.3,-91.073544,33.861931
-2,158.3,-91.073544,33.861931
-1,158.3,-91.073544,33.861931
0,158.3,-91.073544,33.861931
1,158.3,-91.073544,33.861931
2,158.3,-91.073544,33.861931
3,158.3,-91.073544,33.861931
4,158.3,-91.073544,33.861931
5,158.3,-91.073544,33.861931
6,158.3,-91.073544,33.861931
7,158.3,-91.073544,33.861931
8,158.3,-91.073544,33.861931
9,158.3,-91.073544,33.861931
10,158.3,-91.073544,33.861931
11,158.3,-91.073544,33.861931
12,158.3,-91.073544,33.861931
13,158.3,-91.073544,33.861931
14,158.3,-91.073544,33.861931
15,158.3,-91.073544,33.861931
16,158.3,-91.073544,33.861931
17,158.3,-91.073544,33.861931
18,158.3,-91.073544,33.861931
19,158.3,-91.073544,33.861931
