stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,805.0,-91.036519,33.789816
-14,818.1,-91.036519,33.789816
-13,887.1,-91.036519,33.789816
-12,912.2,-91.036519,33.789816
-11,956.2,-91.036519,33.789816
-10,1035.7,-91.036519,33.789816
-9,1050.9,-91.036519,33.789816
-8,1066.2,-91.036519,33.789816
-7,1084.9,-91.036519,33.789816
-6,1105.2,-91.059413,33.776763
-5,1110.4,-91.059413,33.776763
-4,1116.5,-91.059413,33.776763
-3,1124.3,-91.059413,33.776763
-2,1132.0,-91.059413,33.776763
-1,1139.8,-91.059413,33.776763
0,1147.5,-91.059413,33.776763
1,1155.3,-91.059413,33.776763
2,1163.0,-91.059413,33.776763
3,1179.6,-91.059413,33.776763
4,1198.5,-91.059413,33.776763
5,1220.1,-91.059413,33.776763
6,1232.5,-91.062898,33.776621
7,1239.6,-91.062898,33.776621
8,1246.7,-91.062898,33.776621
9,1253.8,-91.062898,33.776621
10,1260.9,-91.062898,33.776621
11,1267.9,-91.062898,33.776621
12,1281.1,-91.062898,33.776621
13,1299.9,-91.062898,33.776621
14,1314.7,-91.066162,33.775385
15,1318.5,-91.066162,33.775385
16,1322.4,-91.066162,33.775385
17,1347.3,-91.066162,33.775385
18,1480.3,-91.062898,33.776621
19,1578.8,-91.066162,33.775385
