stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,426.5,-91.010062,33.930145
-13,459.3,-91.010062,33.930145
-11,557.7,-91.010062,33.930145
-10,557.7,-91.010062,33.930145
-9,590.6,-91.010062,33.930145
-7,656.2,-91.010062,33.930145
-5,820.2,-91.010062,33.930145
-3,885.8,-91.010062,33.930145
-1,951.4,-91.015744,33.920017
1,984.3,-91.014418,33.921041
3,1017.1,-91.015744,33.920017
5,1049.9,-91.015744,33.920017
7,1115.5,-91.015744,33.920017
9,1148.3,-91.015744,33.920017
11,1213.9,-91.015744,33.920017
13,1279.5,-91.016694,33.919173
15,1476.4,-91.015744,33.920017
17,1574.8,-91.015744,33.920017
19,1771.7,-91.015744,33.920017
