stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,821.3,-91.025292,33.995049
-14,967.6,-91.027017,33.99102
-13,1115.0,-90.976553,34.02467
-12,1137.6,-90.976553,34.02467
-11,1160.5,-90.976553,34.02467
-10,1184.7,-90.976553,34.02467
-9,1208.9,-90.976553,34.02467
-8,1306.1,-90.992899,34.018211
-7,1324.8,-90.992899,34.018211
-6,1342.3,-90.992899,34.018211
-5,1359.8,-90.992899,34.018211
-4,1418.5,-90.992899,34.018211
-3,1449.7,-90.992899,34.018211
-2,1481.1,-90.992899,34.018211
-1,1519.0,-90.992899,34.018211
0,1560.2,-90.996027,34.016757
1,1575.0,-90.996027,34.016757
2,1590.1,-90.996027,34.016757
3,1605.2,-90.996027,34.016757
4,1620.3,-90.996027,34.016757
5,1635.4,-90.996027,34.016757
6,1655.8,-90.996027,34.016757
7,1678.6,-90.996027,34.016757
8,1700.8,-90.996027,34.016757
9,1723.8,-90.996027,34.016757
10,1746.9,-90.996027,34.016757
11,1767.9,-90.996027,34.016757
12,1783.8,-90.996027,34.016757
13,1799.7,-90.996027,34.016757
14,1815.6,-90.996027,34.016757
15,1834.2,-90.996027,34.016757
16,1879.8,-90.996027,34.016757
17,1916.2,-90.996027,34.016757
18,1951.6,-90.996027,34.016757
19,1986.8,-90.996027,34.016757
