stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-90.942265,34.021005
-14,0.0,-90.942265,34.021005
-13,0.0,-90.942923,34.021633
-12,0.0,-90.942923,34.021633
-11,18.5,-90.94388,34.021052
-10,138.9,-90.94388,34.021052
-9,538.2,-90.94388,34.021052
-8,1084.1,-90.94388,34.021052
-7,1365.6,-90.942923,34.021633
-6,1426.4,-90.942923,34.021633
-5,1470.3,-90.942923,34.021633
-4,1567.1,-90.942923,34.021633
-3,1606.1,-90.942923,34.021633
-2,2362.7,-90.937244,34.021307
-1,2385.2,-90.937244,34.021307
0,2415.7,-90.937244,34.021307
1,2427.1,-90.937244,34.021307
2,2474.8,-90.937244,34.021307
3,2483.4,-90.937244,34.021307
4,2492.0,-90.937244,34.021307
5,2495.1,-90.937244,34.021307
6,2496.6,-90.937244,34.021307
7,2498.1,-90.937244,34.021307
8,2499.6,-90.937244,34.021307
9,2506.0,-90.937244,34.021307
10,2514.9,-90.937244,34.021307
11,2568.1,-90.940599,34.021211
12,2571.7,-90.940599,34.021211
13,2575.4,-90.940599,34.021211
14,2579.6,-90.940599,34.021211
15,2583.7,-90.940599,34.021211
16,2587.8,-90.940599,34.021211
17,2592.0,-90.940599,34.021211
18,2824.6,-90.935647,34.020826
19,2824.6,-90.935647,34.020826
