stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-90.960064,34.131376
-14,0.0,-90.960064,34.131376
-13,0.0,-90.960064,34.131376
-12,721.8,-90.959203,34.12228
-11,754.6,-90.958768,34.121448
-10,787.4,-90.958768,34.121448
-9,787.4,-90.958768,34.121448
-8,820.2,-90.958768,34.121448
-7,853.0,-90.958768,34.121448
-6,885.8,-90.958768,34.121448
-5,918.6,-90.958251,34.120615
-4,918.6,-90.958251,34.120615
-3,951.4,-90.954118,34.115599
-2,951.4,-90.954118,34.115599
-1,951.4,-90.954118,34.115599
0,951.4,-90.954118,34.115599
1,951.4,-90.954118,34.115599
2,951.4,-90.954118,34.115599
3,951.4,-90.954118,34.115599
4,951.4,-90.954118,34.115599
5,951.4,-90.954118,34.115599
6,951.4,-90.954118,34.115599
7,951.4,-90.954118,34.115599
8,951.4,-90.954118,34.115599
9,951.4,-90.954118,34.115599
10,951.4,-90.954118,34.115599
11,951.4,-90.954118,34.115599
12,951.4,-90.954118,34.115599
13,951.4,-90.954118,34.115599
14,951.4,-90.954118,34.115599
15,951.4,-90.954118,34.115599
16,951.4,-90.954118,34.115599
17,951.4,-90.954118,34.115599
18,951.4,-90.954118,34.115599
19,951.4,-90.954118,34.115599
