stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,907.5,-90.58384,34.510692
-14,910.4,-90.58384,34.510692
-13,913.4,-90.58384,34.510692
-12,916.3,-90.58384,34.510692
-11,919.3,-90.58384,34.510692
-10,922.2,-90.58384,34.510692
-9,925.0,-90.58384,34.510692
-8,927.8,-90.58384,34.510692
-7,930.6,-90.58384,34.510692
-6,933.4,-90.58384,34.510692
-5,936.3,-90.58384,34.510692
-4,939.0,-90.58384,34.510692
-3,939.0,-90.58384,34.510692
-2,939.0,-90.58384,34.510692
-1,939.0,-90.58384,34.510692
0,939.0,-90.58384,34.510692
1,939.0,-90.58384,34.510692
2,939.0,-90.58384,34.510692
3,939.0,-90.58384,34.510692
4,939.0,-90.58384,34.510692
5,939.0,-90.58384,34.510692
6,939.0,-90.58384,34.510692
7,939.0,-90.58384,34.510692
8,939.0,-90.58384,34.510692
9,939.0,-90.58384,34.510692
10,939.0,-90.58384,34.510692
11,939.0,-90.58384,34.510692
12,939.0,-90.58384,34.510692
13,939.0,-90.58384,34.510692
14,939.0,-90.58384,34.510692
15,939.0,-90.58384,34.510692
16,939.0,-90.58384,34.510692
17,939.0,-90.58384,34.510692
18,939.0,-90.58384,34.510692
19,939.0,-90.58384,34.510692
