stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-90.543841,34.741592
-14,0.0,-90.543841,34.741592
-13,0.0,-90.543841,34.741592
-12,0.0,-90.543841,34.741592
-11,360.9,-90.54295,34.740768
-10,951.4,-90.543841,34.741592
-9,1082.7,-90.565467,34.737568
-8,1115.5,-90.565467,34.737568
-7,1115.5,-90.565467,34.737568
-6,1148.3,-90.565467,34.737568
-5,1148.3,-90.565467,34.737568
-4,1181.1,-90.565467,34.737568
-3,1213.9,-90.565467,34.737568
-2,1213.9,-90.565467,34.737568
-1,1246.7,-90.565467,34.737568
0,1706.0,-90.565467,34.737568
1,1706.0,-90.565467,34.737568
2,1706.0,-90.565467,34.737568
3,1706.0,-90.565467,34.737568
4,1706.0,-90.565467,34.737568
5,1706.0,-90.565467,34.737568
6,1706.0,-90.565467,34.737568
7,1706.0,-90.565467,34.737568
8,1706.0,-90.565467,34.737568
9,1706.0,-90.565467,34.737568
10,1706.0,-90.565467,34.737568
11,1706.0,-90.565467,34.737568
12,1706.0,-90.565467,34.737568
13,1706.0,-90.565467,34.737568
14,1706.0,-90.565467,34.737568
15,1706.0,-90.565467,34.737568
16,1706.0,-90.565467,34.737568
17,1706.0,-90.565467,34.737568
18,1706.0,-90.565467,34.737568
19,1706.0,-90.565467,34.737568
