stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-90.430283,34.822841
-14,0.0,-90.430283,34.822841
-13,353.6,-90.426078,34.822988
-12,584.4,-90.430283,34.822841
-11,598.0,-90.430283,34.822841
-10,863.0,-90.457084,34.821893
-9,865.5,-90.458189,34.821219
-8,865.5,-90.458189,34.821219
-7,865.5,-90.458189,34.821219
-6,865.5,-90.458189,34.821219
-5,865.5,-90.458189,34.821219
-4,865.5,-90.458189,34.821219
-3,865.5,-90.458189,34.821219
-2,865.5,-90.458189,34.821219
-1,865.5,-90.458189,34.821219
0,865.5,-90.458189,34.821219
1,865.5,-90.458189,34.821219
2,865.5,-90.458189,34.821219
3,865.5,-90.458189,34.821219
4,865.5,-90.458189,34.821219
5,865.5,-90.458189,34.821219
6,865.5,-90.458189,34.821219
7,865.5,-90.458189,34.821219
8,865.5,-90.458189,34.821219
9,865.5,-90.458189,34.821219
10,865.5,-90.458189,34.821219
11,865.5,-90.458189,34.821219
12,865.5,-90.458189,34.821219
13,865.5,-90.458189,34.821219
14,865.5,-90.458189,34.821219
15,865.5,-90.458189,34.821219
16,865.5,-90.458189,34.821219
17,865.5,-90.458189,34.821219
18,865.5,-90.458189,34.821219
19,865.5,-90.458189,34.821219
