stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,787.4,-90.56852,34.727548
-14,787.4,-90.56852,34.727548
-13,820.2,-90.56852,34.727548
-12,820.2,-90.56852,34.727548
-11,820.2,-90.56852,34.727548
-10,820.2,-90.56852,34.727548
-9,820.2,-90.56852,34.727548
-8,820.2,-90.56852,34.727548
-7,820.2,-90.56852,34.727548
-6,853.0,-90.56852,34.727548
-5,853.0,-90.56852,34.727548
-4,853.0,-90.56852,34.727548
-3,853.0,-90.56852,34.727548
-2,853.0,-90.56852,34.727548
-1,853.0,-90.56852,34.727548
0,853.0,-90.56852,34.727548
1,853.0,-90.56852,34.727548
2,885.8,-90.568813,34.721783
3,885.8,-90.56852,34.727548
4,885.8,-90.56852,34.727548
5,885.8,-90.56852,34.727548
6,885.8,-90.56852,34.727548
7,885.8,-90.56852,34.727548
8,885.8,-90.56852,34.727548
9,885.8,-90.56852,34.727548
10,885.8,-90.56852,34.727548
11,918.6,-90.568813,34.721783
12,918.6,-90.568813,34.721783
13,918.6,-90.568813,34.721783
14,918.6,-90.568813,34.721783
15,918.6,-90.568813,34.721783
16,918.6,-90.568813,34.721783
17,918.6,-90.56852,34.727548
18,918.6,-90.56852,34.727548
19,918.6,-90.56852,34.727548
