stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,822.3,-90.276721,35.022383
-14,856.0,-90.276721,35.022383
-13,1050.6,-90.275906,35.022779
-12,1831.3,-90.276721,35.022383
-11,1869.5,-90.276721,35.022383
-10,1957.6,-90.276721,35.022383
-9,1995.7,-90.276721,35.022383
-8,2038.7,-90.276721,35.022383
-7,2095.0,-90.276721,35.022383
-6,2138.2,-90.276721,35.022383
-5,2223.7,-90.276721,35.022383
-4,2254.3,-90.276721,35.022383
-3,2296.3,-90.276721,35.022383
-2,2321.8,-90.275906,35.022779
-1,2333.2,-90.275906,35.022779
0,2344.6,-90.275906,35.022779
1,2401.5,-90.276721,35.022383
2,2427.4,-90.276721,35.022383
3,2457.5,-90.275906,35.022779
4,2457.5,-90.275906,35.022779
5,2457.5,-90.275906,35.022779
6,2457.5,-90.275906,35.022779
7,2457.5,-90.275906,35.022779
8,2457.5,-90.275906,35.022779
9,2457.5,-90.275906,35.022779
10,2457.5,-90.275906,35.022779
11,2457.5,-90.275906,35.022779
12,2457.5,-90.275906,35.022779
13,2457.5,-90.275906,35.022779
14,2457.5,-90.275906,35.022779
15,2457.5,-90.275906,35.022779
16,2457.5,-90.275906,35.022779
17,2457.5,-90.275906,35.022779
18,2457.5,-90.275906,35.022779
19,2457.5,-90.275906,35.022779
