stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1271.4,-90.176403,35.067774
-14,1282.6,-90.176403,35.067774
-13,1306.1,-90.176403,35.067774
-12,1486.9,-90.178633,35.058152
-11,1498.0,-90.178633,35.058152
-10,1540.4,-90.178633,35.058152
-9,1605.4,-90.178633,35.058152
-8,1651.5,-90.178633,35.058152
-7,1658.6,-90.178633,35.058152
-6,1658.6,-90.178633,35.058152
-5,1658.6,-90.178633,35.058152
-4,1658.6,-90.178633,35.058152
-3,1658.6,-90.178633,35.058152
-2,1658.6,-90.178633,35.058152
-1,1658.6,-90.178633,35.058152
0,1658.6,-90.178633,35.058152
1,1658.6,-90.178633,35.058152
2,1658.6,-90.178633,35.058152
3,1658.6,-90.178633,35.058152
4,1658.6,-90.178633,35.058152
5,1658.6,-90.178633,35.058152
6,1658.6,-90.178633,35.058152
7,1658.6,-90.178633,35.058152
8,1658.6,-90.178633,35.058152
9,1658.6,-90.178633,35.058152
10,1658.6,-90.178633,35.058152
11,1658.6,-90.178633,35.058152
12,1658.6,-90.178633,35.058152
13,1658.6,-90.178633,35.058152
14,1658.6,-90.178633,35.058152
15,1658.6,-90.178633,35.058152
16,1658.6,-90.178633,35.058152
17,1658.6,-90.178633,35.058152
18,1658.6,-90.178633,35.058152
19,1658.6,-90.178633,35.058152
