stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,918.6,-90.284058,35.020295
-14,951.4,-90.284058,35.020295
-13,1017.1,-90.307406,34.991266
-12,1017.1,-90.307406,34.991266
-11,1049.9,-90.307406,34.991266
-10,1082.7,-90.307406,34.991266
-9,1082.7,-90.307406,34.991266
-8,1181.1,-90.307406,34.991266
-7,1213.9,-90.306086,34.988764
-6,1246.7,-90.306086,34.988764
-5,1246.7,-90.306086,34.988764
-4,1279.5,-90.306086,34.988764
-3,1312.3,-90.306086,34.988764
-2,1345.1,-90.306086,34.988764
-1,1378.0,-90.306086,34.988764
0,1443.6,-90.306086,34.988764
1,1443.6,-90.306086,34.988764
2,1476.4,-90.306086,34.988764
3,1542.0,-90.306086,34.988764
4,1574.8,-90.306086,34.988764
5,1902.9,-90.304823,35.004891
6,1902.9,-90.304823,35.004891
7,1902.9,-90.304823,35.004891
8,1902.9,-90.304823,35.004891
9,1902.9,-90.304823,35.004891
10,1902.9,-90.304823,35.004891
11,1902.9,-90.304823,35.004891
12,1902.9,-90.304823,35.004891
13,1902.9,-90.304823,35.004891
14,1902.9,-90.304823,35.004891
15,1902.9,-90.304823,35.004891
16,1902.9,-90.304823,35.004891
17,1902.9,-90.304823,35.004891
18,1902.9,-90.304823,35.004891
19,1902.9,-90.304823,35.004891
