stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-90.042121,35.413339
-14,0.0,-90.042121,35.413339
-13,0.0,-90.041112,35.413383
-12,0.0,-90.041112,35.413383
-11,360.9,-90.042121,35.413339
-10,754.6,-90.042121,35.413339
-9,1673.2,-90.021851,35.41703
-8,1673.2,-90.021851,35.41703
-7,1673.2,-90.021851,35.41703
-6,1673.2,-90.021851,35.41703
-5,1673.2,-90.021851,35.41703
-4,1673.2,-90.021851,35.41703
-3,1673.2,-90.021851,35.41703
-2,1673.2,-90.021851,35.41703
-1,1673.2,-90.021851,35.41703
0,1673.2,-90.021851,35.41703
1,1673.2,-90.021851,35.41703
2,1673.2,-90.021851,35.41703
3,1673.2,-90.021851,35.41703
4,1673.2,-90.021851,35.41703
5,1673.2,-90.021851,35.41703
6,1673.2,-90.021851,35.41703
7,1673.2,-90.021851,35.41703
8,1673.2,-90.021851,35.41703
9,1673.2,-90.021851,35.41703
10,1673.2,-90.021851,35.41703
11,1673.2,-90.021851,35.41703
12,1673.2,-90.021851,35.41703
13,1673.2,-90.021851,35.41703
14,1673.2,-90.021851,35.41703
15,1673.2,-90.021851,35.41703
16,1673.2,-90.021851,35.41703
17,1673.2,-90.021851,35.41703
18,1673.2,-90.021851,35.41703
19,1673.2,-90.021851,35.41703
