stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1211.3,-90.035158,35.414737
-14,1244.6,-90.035158,35.414737
-13,1418.2,-90.035158,35.414737
-12,2084.3,-90.025324,35.419632
-11,2114.6,-90.050261,35.414096
-10,2117.6,-90.050261,35.414096
-9,2120.5,-90.050261,35.414096
-8,2120.5,-90.050261,35.414096
-7,2120.5,-90.050261,35.414096
-6,2120.5,-90.050261,35.414096
-5,2120.5,-90.050261,35.414096
-4,2120.5,-90.050261,35.414096
-3,2120.5,-90.050261,35.414096
-2,2120.5,-90.050261,35.414096
-1,2120.5,-90.050261,35.414096
0,2120.5,-90.050261,35.414096
1,2120.5,-90.050261,35.414096
2,2120.5,-90.050261,35.414096
3,2120.5,-90.050261,35.414096
4,2120.5,-90.050261,35.414096
5,2120.5,-90.050261,35.414096
6,2120.5,-90.050261,35.414096
7,2120.5,-90.050261,35.414096
8,2120.5,-90.050261,35.414096
9,2120.5,-90.050261,35.414096
10,2120.5,-90.050261,35.414096
11,2120.5,-90.050261,35.414096
12,2120.5,-90.050261,35.414096
13,2120.5,-90.050261,35.414096
14,2120.5,-90.050261,35.414096
15,2120.5,-90.050261,35.414096
16,2120.5,-90.050261,35.414096
17,2120.5,-90.050261,35.414096
18,2120.5,-90.050261,35.414096
19,2120.5,-90.050261,35.414096
