stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1850.2,-90.072628,35.129494
-14,1850.2,-90.072628,35.129494
-13,1850.2,-90.072628,35.129494
-12,1850.2,-90.072628,35.129494
-11,1850.2,-90.072628,35.129494
-10,1850.2,-90.072628,35.129494
-9,1850.2,-90.072628,35.129494
-8,1850.2,-90.072628,35.129494
-7,1850.2,-90.072628,35.129494
-6,1850.2,-90.072628,35.129494
-5,1850.2,-90.072628,35.129494
-4,1850.2,-90.072628,35.129494
-3,1850.2,-90.072628,35.129494
-2,1850.2,-90.072628,35.129494
-1,1850.2,-90.072628,35.129494
0,1850.2,-90.072628,35.129494
1,1850.2,-90.072628,35.129494
2,1850.2,-90.072628,35.129494
3,1850.2,-90.072628,35.129494
4,1850.2,-90.072628,35.129494
5,1850.2,-90.072628,35.129494
6,1850.2,-90.072628,35.129494
7,1850.2,-90.072628,35.129494
8,1850.2,-90.072628,35.129494
9,1850.2,-90.072628,35.129494
10,1850.2,-90.072628,35.129494
11,1850.2,-90.072628,35.129494
12,1850.2,-90.072628,35.129494
13,1850.2,-90.072628,35.129494
14,1850.2,-90.072628,35.129494
15,1850.2,-90.072628,35.129494
16,1850.2,-90.072628,35.129494
17,1850.2,-90.072628,35.129494
18,1850.2,-90.072628,35.129494
19,1850.2,-90.072628,35.129494
