stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-89.887545,35.648655
-14,754.6,-89.876834,35.624479
-13,754.6,-89.876834,35.624479
-12,754.6,-89.876834,35.624479
-11,754.6,-89.876834,35.624479
-10,787.4,-89.876834,35.624479
-9,787.4,-89.876834,35.624479
-8,820.2,-89.878085,35.623687
-7,820.2,-89.878085,35.623687
-6,820.2,-89.878085,35.623687
-5,820.2,-89.878085,35.623687
-4,820.2,-89.878085,35.623687
-3,853.0,-89.878085,35.623687
-2,853.0,-89.878085,35.623687
-1,885.8,-89.878085,35.623687
0,918.6,-89.878085,35.623687
1,918.6,-89.878085,35.623687
2,984.3,-89.881542,35.621305
3,1542.0,-89.883385,35.61997
4,1542.0,-89.883385,35.61997
5,1542.0,-89.883385,35.61997
6,1542.0,-89.883385,35.61997
7,1542.0,-89.883385,35.61997
8,1542.0,-89.883385,35.61997
9,1542.0,-89.883385,35.61997
10,1542.0,-89.883385,35.61997
11,1542.0,-89.883385,35.61997
12,1542.0,-89.883385,35.61997
13,1542.0,-89.883385,35.61997
14,1542.0,-89.883385,35.61997
15,1542.0,-89.883385,35.61997
16,1542.0,-89.883385,35.61997
17,1542.0,-89.883385,35.61997
18,1542.0,-89.883385,35.61997
19,1542.0,-89.883385,35.61997
