stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,740.3,-89.880278,35.622844
-14,745.7,-89.880278,35.622844
-13,785.4,-89.875607,35.625199
-12,790.9,-89.877653,35.623776
-11,793.0,-89.877653,35.623776
-10,795.2,-89.877653,35.623776
-9,797.3,-89.877653,35.623776
-8,799.4,-89.877653,35.623776
-7,850.3,-89.877653,35.623776
-6,850.3,-89.877653,35.623776
-5,850.3,-89.877653,35.623776
-4,850.3,-89.877653,35.623776
-3,850.3,-89.877653,35.623776
-2,850.3,-89.877653,35.623776
-1,850.3,-89.877653,35.623776
0,850.3,-89.877653,35.623776
1,850.3,-89.877653,35.623776
2,850.3,-89.877653,35.623776
3,850.3,-89.877653,35.623776
4,850.3,-89.877653,35.623776
5,850.3,-89.877653,35.623776
6,850.3,-89.877653,35.623776
7,850.3,-89.877653,35.623776
8,850.3,-89.877653,35.623776
9,850.3,-89.877653,35.623776
10,850.3,-89.877653,35.623776
11,850.3,-89.877653,35.623776
12,850.3,-89.877653,35.623776
13,850.3,-89.877653,35.623776
14,850.3,-89.877653,35.623776
15,850.3,-89.877653,35.623776
16,850.3,-89.877653,35.623776
17,850.3,-89.877653,35.623776
18,850.3,-89.877653,35.623776
19,850.3,-89.877653,35.623776
