stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,794.8,-89.922602,35.511044
-14,803.9,-89.922602,35.511044
-13,816.8,-89.922602,35.511044
-12,835.5,-89.922602,35.511044
-11,856.0,-89.922602,35.511044
-10,872.2,-89.922602,35.511044
-9,888.6,-89.922602,35.511044
-8,929.7,-89.922602,35.511044
-7,929.7,-89.922602,35.511044
-6,929.7,-89.922602,35.511044
-5,929.7,-89.922602,35.511044
-4,929.7,-89.922602,35.511044
-3,929.7,-89.922602,35.511044
-2,929.7,-89.922602,35.511044
-1,929.7,-89.922602,35.511044
0,929.7,-89.922602,35.511044
1,929.7,-89.922602,35.511044
2,929.7,-89.922602,35.511044
3,929.7,-89.922602,35.511044
4,929.7,-89.922602,35.511044
5,929.7,-89.922602,35.511044
6,929.7,-89.922602,35.511044
7,929.7,-89.922602,35.511044
8,929.7,-89.922602,35.511044
9,929.7,-89.922602,35.511044
10,929.7,-89.922602,35.511044
11,929.7,-89.922602,35.511044
12,929.7,-89.922602,35.511044
13,929.7,-89.922602,35.511044
14,929.7,-89.922602,35.511044
15,929.7,-89.922602,35.511044
16,929.7,-89.922602,35.511044
17,929.7,-89.922602,35.511044
18,929.7,-89.922602,35.511044
19,929.7,-89.922602,35.511044
