stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,644.6,-89.912259,35.511934
-14,655.6,-89.912259,35.511934
-13,671.9,-89.912259,35.511934
-12,690.1,-89.912259,35.511934
-11,708.4,-89.913574,35.511652
-10,716.8,-89.913574,35.511652
-9,725.1,-89.913574,35.511652
-8,734.5,-89.913574,35.511652
-7,760.8,-89.913574,35.511652
-6,784.0,-89.914316,35.511482
-5,792.1,-89.922602,35.511044
-4,801.2,-89.922602,35.511044
-3,812.3,-89.922602,35.511044
-2,827.8,-89.922602,35.511044
-1,850.9,-89.922602,35.511044
0,867.6,-89.922602,35.511044
1,882.9,-89.922602,35.511044
2,929.7,-89.922602,35.511044
3,929.7,-89.922602,35.511044
4,929.7,-89.922602,35.511044
5,929.7,-89.922602,35.511044
6,929.7,-89.922602,35.511044
7,929.7,-89.922602,35.511044
8,929.7,-89.922602,35.511044
9,929.7,-89.922602,35.511044
10,929.7,-89.922602,35.511044
11,929.7,-89.922602,35.511044
12,929.7,-89.922602,35.511044
13,929.7,-89.922602,35.511044
14,929.7,-89.922602,35.511044
15,929.7,-89.922602,35.511044
16,929.7,-89.922602,35.511044
17,929.7,-89.922602,35.511044
18,929.7,-89.922602,35.511044
19,929.7,-89.922602,35.511044
