stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,427.1,-89.713178,35.907326
-14,446.4,-89.713178,35.907326
-13,523.2,-89.716176,35.908221
-12,544.7,-89.716176,35.908221
-11,589.4,-89.717687,35.908636
-10,621.8,-89.717687,35.908636
-9,636.8,-89.716176,35.908221
-8,659.1,-89.716176,35.908221
-7,726.4,-89.71701,35.908586
-6,817.7,-89.717687,35.908636
-5,896.4,-89.714373,35.907794
-4,903.5,-89.712012,35.906965
-3,903.5,-89.712012,35.906965
-2,903.5,-89.712012,35.906965
-1,903.5,-89.712012,35.906965
0,903.5,-89.712012,35.906965
1,903.5,-89.712012,35.906965
2,903.5,-89.712012,35.906965
3,903.5,-89.712012,35.906965
4,903.5,-89.712012,35.906965
5,903.5,-89.712012,35.906965
6,903.5,-89.712012,35.906965
7,903.5,-89.712012,35.906965
8,903.5,-89.712012,35.906965
9,903.5,-89.712012,35.906965
10,903.5,-89.712012,35.906965
11,903.5,-89.712012,35.906965
12,903.5,-89.712012,35.906965
13,903.5,-89.712012,35.906965
14,903.5,-89.712012,35.906965
15,903.5,-89.712012,35.906965
16,903.5,-89.712012,35.906965
17,903.5,-89.712012,35.906965
18,903.5,-89.712012,35.906965
19,903.5,-89.712012,35.906965
