stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,787.4,-89.893109,35.738076
-14,820.2,-89.852758,35.741785
-13,885.8,-89.852758,35.741785
-12,951.4,-89.852758,35.741785
-11,984.3,-89.852758,35.741785
-10,1082.7,-89.852758,35.741785
-9,1115.5,-89.852758,35.741785
-8,1213.9,-89.901225,35.73729
-7,1279.5,-89.852758,35.741785
-6,1345.1,-89.910422,35.734711
-5,1378.0,-89.838982,35.742522
-4,1378.0,-89.838982,35.742522
-3,1378.0,-89.838982,35.742522
-2,1378.0,-89.838982,35.742522
-1,1410.8,-89.838982,35.742522
0,1410.8,-89.838982,35.742522
1,1509.2,-89.838982,35.742522
2,1509.2,-89.838982,35.742522
3,1542.0,-89.838982,35.742522
4,1574.8,-89.838982,35.742522
5,1673.2,-89.838982,35.742522
6,1738.8,-89.909401,35.734959
7,1738.8,-89.838982,35.742522
8,1738.8,-89.838982,35.742522
9,1738.8,-89.838982,35.742522
10,1738.8,-89.838982,35.742522
11,1738.8,-89.838982,35.742522
12,1738.8,-89.838982,35.742522
13,1738.8,-89.838982,35.742522
14,1738.8,-89.838982,35.742522
15,1738.8,-89.838982,35.742522
16,1738.8,-89.838982,35.742522
17,1738.8,-89.838982,35.742522
18,1738.8,-89.838982,35.742522
19,1738.8,-89.838982,35.742522
