stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,182.3,-89.943851,35.673062
-14,218.9,-89.943851,35.673062
-13,256.4,-89.943851,35.673062
-12,287.8,-89.943536,35.672978
-11,314.3,-89.943536,35.672978
-10,340.9,-89.943536,35.672978
-9,367.5,-89.943536,35.672978
-8,619.7,-89.943851,35.673062
-7,773.2,-89.943536,35.672978
-6,780.1,-89.943536,35.672978
-5,787.0,-89.943536,35.672978
-4,793.9,-89.943536,35.672978
-3,800.7,-89.943536,35.672978
-2,807.6,-89.943536,35.672978
-1,814.5,-89.943536,35.672978
0,821.4,-89.943536,35.672978
1,826.9,-89.938516,35.667438
2,829.6,-89.938516,35.667438
3,832.2,-89.938516,35.667438
4,834.8,-89.938516,35.667438
5,837.5,-89.938516,35.667438
6,840.1,-89.938516,35.667438
7,842.7,-89.938516,35.667438
8,845.2,-89.940723,35.670447
9,847.6,-89.940723,35.670447
10,850.1,-89.940723,35.670447
11,852.5,-89.940723,35.670447
12,854.9,-89.940723,35.670447
13,857.4,-89.940723,35.670447
14,861.2,-89.938516,35.667438
15,951.3,-89.938821,35.667918
16,951.3,-89.938821,35.667918
17,951.3,-89.938821,35.667918
18,951.3,-89.938821,35.667918
19,951.3,-89.938821,35.667918
