stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,0.0,-89.579768,36.141
-14,0.0,-89.579768,36.141
-13,0.0,-89.579768,36.141
-12,0.0,-89.580115,36.141707
-11,0.0,-89.580115,36.141707
-10,462.3,-89.579636,36.14003
-9,648.7,-89.579995,36.138901
-8,941.8,-89.584578,36.127819
-7,965.5,-89.584578,36.127819
-6,1043.3,-89.585368,36.126056
-5,1062.3,-89.585368,36.126056
-4,1086.0,-89.585368,36.126056
-3,1108.9,-89.585368,36.126056
-2,1129.5,-89.585368,36.126056
-1,1150.1,-89.585368,36.126056
0,1250.5,-89.592978,36.159372
1,1250.5,-89.592978,36.159372
2,1250.5,-89.592978,36.159372
3,1250.5,-89.592978,36.159372
4,1250.5,-89.592978,36.159372
5,1250.5,-89.592978,36.159372
6,1250.5,-89.592978,36.159372
7,1250.5,-89.592978,36.159372
8,1250.5,-89.592978,36.159372
9,1250.5,-89.592978,36.159372
10,1250.5,-89.592978,36.159372
11,1250.5,-89.592978,36.159372
12,1250.5,-89.592978,36.159372
13,1250.5,-89.592978,36.159372
14,1250.5,-89.592978,36.159372
15,1250.5,-89.592978,36.159372
16,1250.5,-89.592978,36.159372
17,1250.5,-89.592978,36.159372
18,1250.5,-89.592978,36.159372
19,1250.5,-89.592978,36.159372
