stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1097.7,-89.590881,36.1209
-14,1153.3,-89.590881,36.1209
-13,1346.3,-89.584696,36.126987
-12,1368.7,-89.584696,36.126987
-11,1395.0,-89.584696,36.126987
-10,1473.7,-89.584696,36.126987
-9,1487.5,-89.584696,36.126987
-8,1651.5,-89.581984,36.144432
-7,1651.5,-89.581984,36.144432
-6,1651.5,-89.581984,36.144432
-5,1651.5,-89.581984,36.144432
-4,1651.5,-89.581984,36.144432
-3,1651.5,-89.581984,36.144432
-2,1651.5,-89.581984,36.144432
-1,1651.5,-89.581984,36.144432
0,1651.5,-89.581984,36.144432
1,1651.5,-89.581984,36.144432
2,1651.5,-89.581984,36.144432
3,1651.5,-89.581984,36.144432
4,1651.5,-89.581984,36.144432
5,1651.5,-89.581984,36.144432
6,1651.5,-89.581984,36.144432
7,1651.5,-89.581984,36.144432
8,1651.5,-89.581984,36.144432
9,1651.5,-89.581984,36.144432
10,1651.5,-89.581984,36.144432
11,1651.5,-89.581984,36.144432
12,1651.5,-89.581984,36.144432
13,1651.5,-89.581984,36.144432
14,1651.5,-89.581984,36.144432
15,1651.5,-89.581984,36.144432
16,1651.5,-89.581984,36.144432
17,1651.5,-89.581984,36.144432
18,1651.5,-89.581984,36.144432
19,1651.5,-89.581984,36.144432
