stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,1369.0,-89.686057,36.219899
-14,1428.1,-89.686057,36.219899
-13,1458.7,-89.686057,36.219899
-12,1593.5,-89.688005,36.221749
-11,1611.0,-89.688005,36.221749
-10,1630.5,-89.688005,36.221749
-9,1646.8,-89.688005,36.221749
-8,1661.4,-89.688005,36.221749
-7,1689.3,-89.688005,36.221749
-6,1702.6,-89.686057,36.219899
-5,1704.4,-89.686057,36.219899
-4,1706.2,-89.686057,36.219899
-3,1708.1,-89.686057,36.219899
-2,1709.9,-89.686057,36.219899
-1,1711.7,-89.686057,36.219899
0,1713.5,-89.686057,36.219899
1,1715.3,-89.686057,36.219899
2,1716.1,-89.686057,36.219899
3,1716.1,-89.686057,36.219899
4,1716.1,-89.686057,36.219899
5,1716.1,-89.686057,36.219899
6,1716.1,-89.686057,36.219899
7,1716.1,-89.686057,36.219899
8,1716.1,-89.686057,36.219899
9,1716.1,-89.686057,36.219899
10,1716.1,-89.686057,36.219899
11,1716.1,-89.686057,36.219899
12,1716.1,-89.686057,36.219899
13,1716.1,-89.686057,36.219899
14,1716.1,-89.686057,36.219899
15,1716.1,-89.686057,36.219899
16,1716.1,-89.686057,36.219899
17,1716.1,-89.686057,36.219899
18,1716.1,-89.686057,36.219899
19,1716.1,-89.686057,36.219899
