stage_ft,width_ft,bottleneck_lon,bottleneck_lat
-15,2301.2,-89.531363,36.34008
-14,2301.2,-89.531363,36.34008
-13,2301.2,-89.531363,36.34008
-12,2301.2,-89.531363,36.34008
-11,2301.2,-89.531363,36.34008
-10,2301.2,-89.531363,36.34008
-9,2301.2,-89.531363,36.34008
-8,2301.2,-89.531363,36.34008
-7,2301.2,-89.531363,36.34008
-6,2301.2,-89.531363,36.34008
-5,2301.2,-89.531363,36.34008
-4,2301.2,-89.531363,36.34008
-3,2301.2,-89.531363,36.34008
-2,2301.2,-89.531363,36.34008
-1,2301.2,-89.531363,36.34008
0,2301.2,-89.531363,36.34008
1,2301.2,-89.531363,36.34008
2,2301.2,-89.531363,36.34008
3,2301.2,-89.531363,36.34008
4,2301.2,-89.531363,36.34008
5,2301.2,-89.531363,36.34008
6,2301.2,-89.531363,36.34008
7,2301.2,-89.531363,36.34008
8,2301.2,-89.531363,36.34008
9,2301.2,-89.531363,36.34008
10,2301.2,-89.531363,36.34008
11,2301.2,-89.531363,36.34008
12,2301.2,-89.531363,36.34008
13,2301.2,-89.531363,36.34008
14,2301.2,-89.531363,36.34008
15,2301.2,-89.531363,36.34008
16,2301.2,-89.531363,36.34008
17,2301.2,-89.531363,36.34008
18,2301.2,-89.531363,36.34008
19,2301.2,-89.531363,36.34008
